Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
35018,Ancien Canal - Hélène Brion,OUI,23,23,0,0,0,OUI,OUI,2020-05-29T10:40:05Z,"48.894847993,2.41883385926",Pantin,NA
13045,Jean Colly - Tolbiac,OUI,36,21,15,13,2,OUI,OUI,2020-05-29T10:42:41Z,"48.8278172916,2.37054906785",Paris,NA
14001,Edgar Quinet - Gaité,OUI,27,26,1,1,0,OUI,OUI,2020-05-29T10:43:34Z,"48.841160929,2.32459545135",Paris,NA
5026,Pascal - Claude Bernard,OUI,49,30,19,17,2,OUI,OUI,2020-05-29T10:41:39Z,"48.8390619522,2.34997820109",Paris,NA
13026,Place Jean Delay,OUI,35,19,14,10,4,OUI,OUI,2020-05-29T10:42:34Z,"48.823316,2.354336",Paris,NA
19039,Edouard Pailleron - Simon Bolivar,OUI,24,23,1,1,0,OUI,OUI,2020-05-29T10:36:41Z,"48.8797988605,2.37483926117",Paris,NA
20027,Porte de Ménilmontant,OUI,15,12,3,0,3,OUI,OUI,2020-05-29T10:43:14Z,"48.8691543609,2.40932246879",Paris,NA
19038,Lassus - Delouvain,OUI,20,20,0,0,0,OUI,OUI,2020-05-29T10:42:34Z,"48.8755044846,2.38903273255",Paris,NA
18029,Emile Blemont - Poteau,OUI,39,33,5,3,2,OUI,OUI,2020-05-29T10:42:10Z,"48.8943782,2.3415122",Paris,NA
20023,Pelleport - Belgrand,OUI,15,14,1,0,1,OUI,OUI,2020-05-29T10:39:14Z,"48.8650008185,2.40398083638",Paris,NA
20016,Pyrénées - Maraîchers,OUI,19,17,2,0,2,OUI,OUI,2020-05-29T10:40:01Z,"48.857140014,2.40435093641",Paris,NA
32001,Proudhon - Président Wilson,OUI,30,18,12,8,4,OUI,OUI,2020-05-29T10:42:16Z,"48.9064427635,2.35849052668",Saint-Denis,NA
20137,Borrégo - Gambetta,OUI,25,24,1,0,1,OUI,OUI,2020-05-29T10:39:39Z,"48.8733049705,2.40141458809",Paris,NA
12041,Bois de Vincennes,OUI,60,51,9,5,4,OUI,OUI,2020-05-29T10:43:33Z,"48.8338064,2.4132221",Saint-Mandé,NA
41206,Place des Larris,OUI,34,27,7,1,6,OUI,OUI,2020-05-29T10:38:45Z,"48.8568363,2.4780236",Fontenay-sous-Bois,NA
14007,Ferrus - Saint-Jacques,OUI,34,20,13,5,8,OUI,OUI,2020-05-29T10:43:07Z,"48.8313878,2.3408563",Paris,NA
22401,Charles de Gaulle - Plateau de Vanves,OUI,33,25,8,3,5,OUI,OUI,2020-05-29T10:42:03Z,"48.8223308897,2.29857180341",Malakoff,NA
13035,Choisy - Tolbiac,OUI,26,19,7,2,5,OUI,OUI,2020-05-29T10:43:27Z,"48.8259115559,2.36023932695",Paris,NA
